country,city,cityLabel,population,mayor,mayorLabel,genderLabel,birth,age,start_date,duration,birth_country,birth_countryLabel,birth_city,birth_cityLabel,city_lon,city_lat,birth_city_lon,birth_city_lat,distance
Ireland,http://www.wikidata.org/entity/Q1761,Dublin,553165.0,http://www.wikidata.org/entity/Q41536567,Mícheál Mac Donncha,male,1965-03-11,53.0,2017-06-26,1,http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q1761,Dublin,-6.265833333,53.3425,-6.265833333,53.3425,0.0
Spain,http://www.wikidata.org/entity/Q8818,Valencia,787808.0,http://www.wikidata.org/entity/Q9012047,Joan Ribó,male,1947-09-17,71.0,2017-01-01,1,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q16697,Manresa,-0.375,39.466666666,1.829166666,41.726388888,312667.92118391924
Spain,http://www.wikidata.org/entity/Q15688,Ávila,58149.0,http://www.wikidata.org/entity/Q29366430,José Luis Rivas,male,1950-01-01,68.0,2015-05-24,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q15688,Ávila,-4.696222222,40.654347222,-4.696222222,40.654347222,0.0
Spain,http://www.wikidata.org/entity/Q494693,Torrelavega,52034.0,http://www.wikidata.org/entity/Q25408727,José Manuel Cruz Viadero,male,1954-08-15,64.0,2015-06-13,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q19460136,"Ajo, Cantabria",-4.045833333,43.353055555,-3.609722222,43.480555555,38054.270361824354
Spain,http://www.wikidata.org/entity/Q8692,Bilbao,345110.0,http://www.wikidata.org/entity/Q5951349,Juan María Aburto,male,1961-03-28,57.0,2015-01-01,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q8692,Bilbao,-2.953333333,43.262222222,-2.953333333,43.262222222,0.0
Spain,http://www.wikidata.org/entity/Q12258,Sabadell,209931.0,http://www.wikidata.org/entity/Q20101792,Maties Serracant i Camps,male,1976-09-04,42.0,2017-07-25,1,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q12258,Sabadell,2.1075,41.548333333,2.1075,41.548333333,0.0
Spain,http://www.wikidata.org/entity/Q5818,Córdoba,325916.0,http://www.wikidata.org/entity/Q20644056,Isabel Ambrosio,female,1970-07-18,48.0,2015-06-13,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q2807,Madrid,-4.766666666,37.883333333,-3.691944444,40.418888888,296419.92183224065
Spain,http://www.wikidata.org/entity/Q1492,Barcelona,1620809.0,http://www.wikidata.org/entity/Q4779594,Ada Colau,female,1974-03-03,44.0,2015-06-13,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q1492,Barcelona,2.176944444,41.3825,2.176944444,41.3825,0.0
Spain,http://www.wikidata.org/entity/Q1492,Barcelona,1620809.0,http://www.wikidata.org/entity/Q4779594,Ada Colau,female,1974-03-03,44.0,2015-06-13,3,http://www.wikidata.org/entity/Q138837,Catalan Republic,http://www.wikidata.org/entity/Q1492,Barcelona,2.176944444,41.3825,2.176944444,41.3825,0.0
Spain,http://www.wikidata.org/entity/Q10313,San Sebastián,186370.0,http://www.wikidata.org/entity/Q12256843,Eneko Goia Laso,male,1971-10-30,47.0,2015-06-13,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q10313,San Sebastián,-1.98,43.32,-1.98,43.32,0.0
Spain,http://www.wikidata.org/entity/Q8818,Valencia,787808.0,http://www.wikidata.org/entity/Q9012047,Joan Ribó,male,1947-09-17,71.0,2017-01-01,1,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q8818,Valencia,-0.375,39.466666666,-0.375,39.466666666,0.0
Spain,http://www.wikidata.org/entity/Q14318,Vitoria-Gasteiz,246976.0,http://www.wikidata.org/entity/Q20087136,Gorka Urtaran,male,1973-12-21,45.0,2015-01-01,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q14318,Vitoria-Gasteiz,-2.673055555,42.846666666,-2.673055555,42.846666666,0.0
Spain,http://www.wikidata.org/entity/Q8757,A Coruña,244099.0,http://www.wikidata.org/entity/Q20026695,Xulio Ferreiro,male,1974-10-18,44.0,2015-06-13,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q8757,A Coruña,-8.383333333,43.366666666,-8.383333333,43.366666666,0.0
Spain,http://www.wikidata.org/entity/Q329984,Úbeda,34733.0,http://www.wikidata.org/entity/Q28028493,Antonia Olivares Martínez,female,1972-01-25,46.0,2015-06-13,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q329984,Úbeda,-3.371666666,38.011666666,-3.371666666,38.011666666,0.0
Spain,http://www.wikidata.org/entity/Q15682,Cádiz,118048.0,http://www.wikidata.org/entity/Q20087369,José María González Santos,male,1975-09-22,43.0,2015-06-13,3,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q34370,Rotterdam,-6.283333333,36.516666666,4.479166666,51.930833333,1911763.2894273438
Spain,http://www.wikidata.org/entity/Q2807,Madrid,3182981.0,http://www.wikidata.org/entity/Q19592761,Manuela Carmena,female,1944-02-09,74.0,2015-06-13,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q2807,Madrid,-3.691944444,40.418888888,-3.691944444,40.418888888,0.0
Spain,http://www.wikidata.org/entity/Q11959,Alicante,329988.0,http://www.wikidata.org/entity/Q20113584,Gabriel Echávarri,male,1970-12-29,48.0,2015-06-01,3,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q11959,Alicante,-0.483055555,38.345277777,-0.483055555,38.345277777,0.0
Spain,http://www.wikidata.org/entity/Q15468,Badalona,215848.0,http://www.wikidata.org/entity/Q55107167,Àlex Pastor,male,1979-07-17,39.0,2018-06-20,0,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q15468,Badalona,2.233333333,41.433333333,2.233333333,41.433333333,0.0
